"Zipcode","ResponseId","Usage","Q5","Q11._1","Q11._2","Q11._3","Q11._4","Q11._5","Q11._6","Q11._7","Q11._8","Q11._9","Q13._1","Q13._2","Q13._3","Q13._4","Q13._5","Q13._6","Q13._7","Q13._8","Q13._9","Q24","Q25","Income","White","Asian","Pacific_Islander","Latino","Black","Native","Male","Female","NB","Area","Distance","EJ_Bin"
NA,"R_5ja60ORycFCboO2",2,"Driving or sitting in your car to enjoy the views/sunsets","4","4","4","2","4","4","4","3","4","4","4","4","4","4","4","4","4","1",NA,"Female",3,0,0,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_5gnrZHhDI1TWq0F",5,"Group or family gatherings or activities (e.g., family outing, bbq)","4",NA,"4","5","4","4","5","2","5","4","5","5","5","2","3","4","4","5","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,NA,NA,NA
NA,"R_1hFlwaspCcwGw3V",4,"Driving or sitting in your car to enjoy the views/sunsets","4","4","4",NA,"4","4","4","4","4","4","4","4","4","3","3","3","4","4","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,NA,NA,NA
NA,"R_1Lb4Wfk7obgS8r5",NA,"Sailing/Boating (engine powered)","2","2",NA,NA,NA,NA,NA,NA,NA,"1","1","2","1","1","2","3","4","2",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_3iLIKrnPT9iVwrf",2,"Walking or running","5","3","5","5","5","5","5","5","5","4","5","5","5","4","4","4","5","5","Asian","Female",1,0,1,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_6uugw1hnrcDzSHT",4,"Fishing or collecting food","4","2","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_68xNqyEr2D64iwF",4,"Volunteering (e.g., beach clean-ups)","1","2","4","4","2","4","4","2","4","3","3","2","1","4","5","2","3","3",NA,"Male",NA,0,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_6dc23VUDpbLwgx3",3,"Swimming or bodysurfing","5","4","5","4","5","4","5","4","4","4","4","5","5",NA,NA,"4","4","4",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_5pycKWLfNtSrOtr",4,"Bicycling, roller skating, skateboarding, etc","2","3","3","4","3","3","4","4","3","3","4","4","3","3","3","3","3","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_6EZnVhFkuNzCvSq",2,"Observing or photographing nature or wildlife, outdoor education","2","1","3","2","4","4","5","5","5","4","5","5","4","2","3","2","5","5",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_dsaLE753sMEx2zm",3,"Meditation, reading, and/or relaxing","2","1","3","4","3","4","5","5","5","5","4","4","2","2","3","2","3","3","Black or African American,Choose not to answer","Female",3,0,0,0,0,1,0,0,1,0,NA,NA,NA
NA,"R_7dofw0NQiPlNQaZ",4,"Bicycling, roller skating, skateboarding, etc","5","5","5","5","4",NA,NA,NA,NA,"3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
